State or territory,Census population[8][9][a],Census population[8][9][a],House seats[b],House seats[b],Pop. per elec. vote (2020)[c],Pop. per seat (2020)[a],% US (2020),% EC (2020)
State or territory,"July 1, 2025 (est.)","April 1, 2020",Seats,%,Pop. per elec. vote (2020)[c],Pop. per seat (2020)[a],% US (2020),% EC (2020)
California,39355309.0,39538223,52,11.95%,732189,760350,11.800%,10.04%
Texas,31709821.0,29145505,38,8.74%,728638,766987,8.698%,7.43%
Florida,23462518.0,21538187,28,6.44%,717940,769221,6.428%,5.58%
New York,20002427.0,20201249,26,5.98%,721473,776971,6.029%,5.20%
Pennsylvania,13059432.0,13002700,17,3.91%,684353,764865,3.881%,3.53%
Illinois,12719141.0,12812508,17,3.91%,674343,753677,3.824%,3.53%
Ohio,11900510.0,11799448,15,3.45%,694085,786630,3.521%,3.16%
Georgia,11302748.0,10711908,14,3.22%,669494,765136,3.197%,2.97%
North Carolina,11197968.0,10439388,14,3.22%,652462,745671,3.116%,2.97%
Michigan,10127884.0,10077331,13,2.99%,671822,775179,3.008%,2.79%
New Jersey,9548215.0,9288994,12,2.76%,663500,774083,2.772%,2.60%
Virginia,8880107.0,8631393,11,2.53%,663953,784672,2.576%,2.42%
Washington,8001020.0,7705281,10,2.30%,642107,770528,2.300%,2.23%
Arizona,7623818.0,7151502,9,2.07%,650137,794611,2.134%,2.04%
Tennessee,7315076.0,6910840,9,2.07%,628258,767871,2.062%,2.04%
Massachusetts,7154084.0,7029917,9,2.07%,639083,781102,2.098%,2.04%
Indiana,6973333.0,6785528,9,2.07%,616866,753948,2.025%,2.04%
Missouri,6270541.0,6154913,8,1.84%,615491,769364,1.837%,1.86%
Maryland,6265347.0,6177224,8,1.84%,617722,772153,1.844%,1.86%
Colorado,6012561.0,5773714,8,1.84%,577371,721714,1.723%,1.86%
Wisconsin,5972787.0,5893718,8,1.84%,589372,736715,1.759%,1.86%
Minnesota,5830405.0,5706494,8,1.84%,570649,713312,1.703%,1.86%
South Carolina,5570274.0,5118425,7,1.61%,568714,731204,1.528%,1.67%
Alabama,5193088.0,5024279,7,1.61%,558253,717754,1.499%,1.67%
Louisiana,4618189.0,4657757,6,1.38%,582220,776293,1.390%,1.49%
Kentucky,4606864.0,4505836,6,1.38%,563230,750973,1.345%,1.49%
Oregon,4273586.0,4237256,6,1.38%,529657,706209,1.265%,1.49%
Oklahoma,4123288.0,3959353,5,1.15%,565622,791871,1.182%,1.30%
Connecticut,3688496.0,3605944,5,1.15%,515135,721189,1.076%,1.30%
Utah,3538904.0,3271616,4,0.92%,545269,817904,0.976%,1.12%
Nevada,3282188.0,3104614,4,0.92%,517436,776154,0.927%,1.12%
Iowa,3238387.0,3190369,4,0.92%,531728,797592,0.952%,1.12%
Puerto Rico,3184835.0,3285874,1* [note 1],—,—,—,0.981%,—
Arkansas,3114791.0,3011524,4,0.92%,501921,752881,0.899%,1.12%
Kansas,2977220.0,2937880,4,0.92%,489647,734470,0.877%,1.12%
Mississippi,2954160.0,2961279,4,0.92%,493547,740320,0.884%,1.12%
New Mexico,2125498.0,2117522,3,0.69%,423504,705841,0.632%,0.93%
Idaho,2029733.0,1839106,2,0.46%,459777,919553,0.549%,0.74%
Nebraska,2018006.0,1961504,3,0.69%,392301,653835,0.585%,0.93%
West Virginia,1766147.0,1793716,2,0.46%,448429,896858,0.535%,0.74%
Hawaii,1432820.0,1455271,2,0.46%,363818,727636,0.434%,0.74%
New Hampshire,1415342.0,1377529,2,0.46%,344382,688765,0.411%,0.74%
Maine,1414874.0,1362359,2,0.46%,340590,681180,0.407%,0.74%
Montana,1144694.0,1084225,2,0.46%,271056,542113,0.324%,0.74%
Rhode Island,1114521.0,1097379,2,0.46%,274345,548690,0.328%,0.74%
Delaware,1059952.0,989948,1,0.23%,329983,989948,0.295%,0.56%
South Dakota,935094.0,886667,1,0.23%,295556,886667,0.265%,0.56%
North Dakota,799358.0,779094,1,0.23%,259698,779094,0.233%,0.56%
Alaska,737270.0,733391,1,0.23%,244464,733391,0.219%,0.56%
District of Columbia,693645.0,689545,1* [note 1],—,229848,—,0.206%,0.56%
Vermont,644663.0,643077,1,0.23%,214359,643077,0.192%,0.56%
Wyoming,588753.0,576851,1,0.23%,192284,576851,0.172%,0.56%
Guam[11],,153836,1*[note 1],—,—,—,0.046%,—
U.S. Virgin Islands[12],,87146,1* [note 1],—,—,—,0.026%,—
American Samoa[13],,49710,1* [note 1],—,—,—,0.015%,—
Northern Mariana Islands[14],,47329,1* [note 1],—,—,—,0.014%,—
Contiguous United States,339614767.0,329260619,432 (+1*),99.31%,623600,756921,98.265%,98.70%
The 50 states,341091212.0,330759736,435,100%,618242,760367,98.713%,99.44%
The 50 states and D.C.,341784857.0,331449281,435 (+1*),100%,616077,—,98.918%,100%
Total US and territories,,335073176,435 (+6*),100%,—,—,100%,—
